algo,cache_size,miss_ratio,throughput
sieve,0.2,0.2035,3.92
lfu,0.2,0.3014,3.95
lru,0.25,0.1642,3.99
fifo,0.25,0.1845,4.64
pnac,0.25,0.1683,3.12
arc,0.25,0.1649,3.71
twoq,0.25,0.1639,1.7
sieve,0.25,0.1769,4.16
lfu,0.25,0.2553,3.78
lru,0.3,0.1427,4.11
fifo,0.3,0.1622,4.45
pnac,0.3,0.1383,3.21
arc,0.3,0.1423,4.05
twoq,0.3,0.1435,1.81
sieve,0.3,0.1412,4.08
lfu,0.3,0.2187,3.84
lru,0.4,0.1087,3.91
fifo,0.4,0.1244,5.04
pnac,0.4,0.103,3.46
arc,0.4,0.1083,3.92
twoq,0.4,0.1089,1.87
sieve,0.4,0.1093,4.56
lfu,0.4,0.1502,3.63
lru,0.5,0.0872,4.34
fifo,0.5,0.0982,4.85
pnac,0.5,0.0757,3.99
arc,0.5,0.086,4.09
twoq,0.5,0.0869,2.02
sieve,0.5,0.0731,4.82
lfu,0.5,0.0886,3.66
lru,0.6,0.0623,4.46
fifo,0.6,0.0685,5.1
pnac,0.6,0.0518,4.47
arc,0.6,0.0533,3.97
twoq,0.6,0.0622,2.09
sieve,0.6,0.0487,5.43
lfu,0.6,0.0593,3.77
lru,0.75,0.0368,4.33
fifo,0.75,0.0442,5.72
pnac,0.75,0.0345,4.75
arc,0.75,0.0346,4.48
twoq,0.75,0.0416,2.44
sieve,0.75,0.0333,5.01
lfu,0.75,0.0373,3.83
lru,0.8,0.0335,4.28
fifo,0.8,0.0386,5.8
pnac,0.8,0.0316,5.28
arc,0.8,0.0315,4.44
twoq,0.8,0.0386,2.57
sieve,0.8,0.0307,5.5
lfu,0.8,0.0326,3.6
lru,0.9,0.0292,4.8
fifo,0.9,0.0339,5.38
pnac,0.9,0.0286,5.38
arc,0.9,0.0285,4.81
twoq,0.9,0.0339,3.45
sieve,0.9,0.0285,5.41
lfu,0.9,0.0285,3.88
lru,1.0,0.0282,4.33
fifo,1.0,0.0282,5.59
pnac,1.0,0.0282,5.48
arc,1.0,0.0282,4.28
twoq,1.0,0.0282,5.33
sieve,1.0,0.0282,5.18
lfu,1.0,0.0282,3.74
lru,0.05,0.3856,3.81
fifo,0.05,0.4025,3.95
pnac,0.05,0.3873,3.32
arc,0.05,0.3873,3.26
twoq,0.05,0.3654,1.34
sieve,0.05,0.399,3.94
lfu,0.05,0.5317,3.63
lru,0.1,0.2866,3.58
fifo,0.1,0.3113,3.72
pnac,0.1,0.3169,2.72
arc,0.1,0.2886,3.22
twoq,0.1,0.2787,1.4
sieve,0.1,0.3087,3.78
lfu,0.1,0.4219,3.71
lru,0.2,0.1924,3.71
fifo,0.2,0.2138,4.07
pnac,0.2,0.209,2.88
arc,0.2,0.1938,3.58
twoq,0.2,0.1918,1.59
sieve,0.2,0.2035,3.96
lfu,0.2,0.3014,3.72
lru,0.25,0.1642,3.85
fifo,0.25,0.1845,4.29
pnac,0.25,0.1683,2.97
arc,0.25,0.1649,3.56
twoq,0.25,0.1639,1.74
sieve,0.25,0.1769,4.01
lfu,0.25,0.2553,3.55
lru,0.3,0.1427,3.77
fifo,0.3,0.1622,4.29
pnac,0.3,0.1383,3.04
arc,0.3,0.1423,3.81
twoq,0.3,0.1435,1.7
sieve,0.3,0.1412,4.15
lfu,0.3,0.2187,3.57
lru,0.4,0.1087,3.87
fifo,0.4,0.1244,4.6
pnac,0.4,0.103,3.36
arc,0.4,0.1083,3.87
twoq,0.4,0.1089,1.73
sieve,0.4,0.1093,4.38
lfu,0.4,0.1502,3.55
lru,0.5,0.0872,3.86
fifo,0.5,0.0982,4.85
pnac,0.5,0.0757,3.61
arc,0.5,0.086,4.01
twoq,0.5,0.0869,1.79
sieve,0.5,0.0731,4.6
lfu,0.5,0.0886,3.51
lru,0.6,0.0623,4.02
fifo,0.6,0.0685,5.08
pnac,0.6,0.0518,4.01
arc,0.6,0.0533,3.77
twoq,0.6,0.0622,1.86
sieve,0.6,0.0487,4.64
lfu,0.6,0.0593,3.52
lru,0.75,0.0368,4.2
fifo,0.75,0.0442,5.15
pnac,0.75,0.0345,4.59
arc,0.75,0.0346,4.07
twoq,0.75,0.0416,2.32
sieve,0.75,0.0333,5.2
lfu,0.75,0.0373,3.54
lru,0.8,0.0335,4.18
fifo,0.8,0.0386,5.25
pnac,0.8,0.0316,4.72
arc,0.8,0.0315,4.17
twoq,0.8,0.0386,2.5
sieve,0.8,0.0307,5.06
lfu,0.8,0.0326,3.55
lru,0.9,0.0292,4.14
fifo,0.9,0.0339,5.11
pnac,0.9,0.0286,4.86
arc,0.9,0.0285,4.27
twoq,0.9,0.0339,3.54
sieve,0.9,0.0285,5.1
lfu,0.9,0.0285,3.66
lru,1.0,0.0282,4.19
fifo,1.0,0.0282,5.49
pnac,1.0,0.0282,5.06
arc,1.0,0.0282,4.36
twoq,1.0,0.0282,5.05
sieve,1.0,0.0282,5.47
lfu,1.0,0.0282,3.54
lru,0.05,0.3856,3.66
fifo,0.05,0.4025,3.71
pnac,0.05,0.3873,3.04
arc,0.05,0.3873,3.24
twoq,0.05,0.3654,1.3
sieve,0.05,0.399,3.92
lfu,0.05,0.5317,3.92
lru,0.1,0.2866,3.74
fifo,0.1,0.3113,3.95
pnac,0.1,0.3169,2.91
arc,0.1,0.2886,3.36
twoq,0.1,0.2787,1.43
sieve,0.1,0.3087,3.8
lfu,0.1,0.4219,3.52
lru,0.2,0.1924,3.47
fifo,0.2,0.2138,4.26
pnac,0.2,0.209,2.94
arc,0.2,0.1938,3.58
twoq,0.2,0.1918,1.57
sieve,0.2,0.2035,3.84
lfu,0.2,0.3014,3.55
lru,0.25,0.1642,3.51
fifo,0.25,0.1845,4.0
pnac,0.25,0.1683,3.04
arc,0.25,0.1649,3.35
twoq,0.25,0.1639,1.57
sieve,0.25,0.1769,3.96
lfu,0.25,0.2553,3.68
lru,0.3,0.1427,3.43
fifo,0.3,0.1622,4.17
pnac,0.3,0.1383,2.97
arc,0.3,0.1423,3.53
twoq,0.3,0.1435,1.61
sieve,0.3,0.1412,4.0
lfu,0.3,0.2187,3.55
lru,0.4,0.1087,3.65
fifo,0.4,0.1244,4.18
pnac,0.4,0.103,3.21
arc,0.4,0.1083,3.62
twoq,0.4,0.1089,1.61
sieve,0.4,0.1093,4.12
lfu,0.4,0.1502,3.54
lru,0.5,0.0872,3.96
fifo,0.5,0.0982,4.61
pnac,0.5,0.0757,3.82
arc,0.5,0.086,3.97
twoq,0.5,0.0869,1.89
sieve,0.5,0.0731,4.56
lfu,0.5,0.0886,3.57
lru,0.6,0.0623,4.16
fifo,0.6,0.0685,4.94
pnac,0.6,0.0518,4.21
arc,0.6,0.0533,4.08
twoq,0.6,0.0622,1.93
sieve,0.6,0.0487,4.87
lfu,0.6,0.0593,3.62
lru,0.75,0.0368,4.22
fifo,0.75,0.0442,5.67
pnac,0.75,0.0345,4.71
arc,0.75,0.0346,4.31
twoq,0.75,0.0416,2.29
sieve,0.75,0.0333,5.04
lfu,0.75,0.0373,3.5
lru,0.8,0.0335,4.3
fifo,0.8,0.0386,5.3
pnac,0.8,0.0316,4.93
arc,0.8,0.0315,4.36
twoq,0.8,0.0386,2.41
sieve,0.8,0.0307,5.19
lfu,0.8,0.0326,3.65
lru,0.9,0.0292,4.22
fifo,0.9,0.0339,5.39
pnac,0.9,0.0286,4.96
arc,0.9,0.0285,4.16
twoq,0.9,0.0339,3.54
sieve,0.9,0.0285,5.14
lfu,0.9,0.0285,3.58
lru,1.0,0.0282,4.44
fifo,1.0,0.0282,5.66
pnac,1.0,0.0282,5.07
arc,1.0,0.0282,4.27
twoq,1.0,0.0282,5.07
sieve,1.0,0.0282,5.26
lfu,1.0,0.0282,3.55
lru,0.05,0.3856,3.59
fifo,0.05,0.4025,4.07
pnac,0.05,0.3873,3.19
arc,0.05,0.3873,3.06
twoq,0.05,0.3654,1.38
sieve,0.05,0.399,3.9
lfu,0.05,0.5317,4.03
lru,0.1,0.2866,3.53
fifo,0.1,0.3113,4.11
pnac,0.1,0.3169,2.8
arc,0.1,0.2886,3.36
twoq,0.1,0.2787,1.42
sieve,0.1,0.3087,4.07
lfu,0.1,0.4219,3.72
lru,0.2,0.1924,4.0
fifo,0.2,0.2138,3.89
pnac,0.2,0.209,2.86
arc,0.2,0.1938,3.77
twoq,0.2,0.1918,1.61
sieve,0.2,0.2035,4.02
lfu,0.2,0.3014,3.64
lru,0.25,0.1642,3.89
fifo,0.25,0.1845,4.13
pnac,0.25,0.1683,3.12
arc,0.25,0.1649,3.63
twoq,0.25,0.1639,1.75
sieve,0.25,0.1769,3.81
lfu,0.25,0.2553,3.76
lru,0.3,0.1427,3.67
fifo,0.3,0.1622,4.37
pnac,0.3,0.1383,3.07
arc,0.3,0.1423,3.81
twoq,0.3,0.1435,1.7
sieve,0.3,0.1412,4.37
lfu,0.3,0.2187,3.89
lru,0.4,0.1087,4.14
fifo,0.4,0.1244,4.87
pnac,0.4,0.103,3.5
arc,0.4,0.1083,3.86
twoq,0.4,0.1089,1.88
sieve,0.4,0.1093,4.58
lfu,0.4,0.1502,3.63
lru,0.5,0.0872,4.01
fifo,0.5,0.0982,4.72
pnac,0.5,0.0757,3.86
arc,0.5,0.086,3.97
twoq,0.5,0.0869,1.96
sieve,0.5,0.0731,4.93
lfu,0.5,0.0886,3.78
lru,0.6,0.0623,4.05
fifo,0.6,0.0685,5.13
pnac,0.6,0.0518,3.98
arc,0.6,0.0533,4.18
twoq,0.6,0.0622,1.98
sieve,0.6,0.0487,5.02
lfu,0.6,0.0593,3.28
lru,0.75,0.0368,4.77
fifo,0.75,0.0442,5.5
pnac,0.75,0.0345,4.7
arc,0.75,0.0346,4.22
twoq,0.75,0.0416,2.37
sieve,0.75,0.0333,4.86
lfu,0.75,0.0373,3.74
lru,0.8,0.0335,4.53
fifo,0.8,0.0386,5.35
pnac,0.8,0.0316,5.01
arc,0.8,0.0315,4.31
twoq,0.8,0.0386,2.62
sieve,0.8,0.0307,5.03
lfu,0.8,0.0326,3.86
lru,0.9,0.0292,4.17
fifo,0.9,0.0339,5.5
pnac,0.9,0.0286,4.65
arc,0.9,0.0285,4.29
twoq,0.9,0.0339,3.5
sieve,0.9,0.0285,5.52
lfu,0.9,0.0285,3.6
lru,1.0,0.0282,4.54
fifo,1.0,0.0282,5.2
pnac,1.0,0.0282,5.22
arc,1.0,0.0282,4.61
twoq,1.0,0.0282,4.43
sieve,1.0,0.0282,5.68
lfu,1.0,0.0282,3.68
lru,0.05,0.3856,3.6
fifo,0.05,0.4025,3.38
pnac,0.05,0.3873,3.07
arc,0.05,0.3873,2.94
twoq,0.05,0.3654,1.3
sieve,0.05,0.399,3.8
lfu,0.05,0.5317,3.36
lru,0.1,0.2866,3.27
fifo,0.1,0.3113,3.95
pnac,0.1,0.3169,2.84
arc,0.1,0.2886,3.39
twoq,0.1,0.2787,1.43
sieve,0.1,0.3087,3.9
lfu,0.1,0.4219,3.41
lru,0.2,0.1924,3.49
fifo,0.2,0.2138,4.26
pnac,0.2,0.209,2.93
arc,0.2,0.1938,3.83
twoq,0.2,0.1918,1.58
sieve,0.2,0.2035,3.73
lfu,0.2,0.3014,3.8
lru,0.25,0.1642,3.36
fifo,0.25,0.1845,4.39
pnac,0.25,0.1683,3.17
arc,0.25,0.1649,3.89
twoq,0.25,0.1639,1.59
sieve,0.25,0.1769,4.31
lfu,0.25,0.2553,3.7
lru,0.3,0.1427,3.28
fifo,0.3,0.1622,4.9
pnac,0.3,0.1383,3.06
arc,0.3,0.1423,4.07
twoq,0.3,0.1435,1.7
sieve,0.3,0.1412,4.4
lfu,0.3,0.2187,3.75
lru,0.4,0.1087,4.04
fifo,0.4,0.1244,4.28
pnac,0.4,0.103,3.39
arc,0.4,0.1083,3.8
twoq,0.4,0.1089,1.91
sieve,0.4,0.1093,4.45
lfu,0.4,0.1502,3.62
lru,0.5,0.0872,4.34
fifo,0.5,0.0982,4.5
pnac,0.5,0.0757,4.02
arc,0.5,0.086,4.02
twoq,0.5,0.0869,1.99
sieve,0.5,0.0731,5.02
lfu,0.5,0.0886,3.47
lru,0.6,0.0623,4.39
fifo,0.6,0.0685,4.77
pnac,0.6,0.0518,4.38
arc,0.6,0.0533,3.96
twoq,0.6,0.0622,2.03
sieve,0.6,0.0487,5.44
lfu,0.6,0.0593,3.53
lru,0.75,0.0368,4.64
fifo,0.75,0.0442,5.07
pnac,0.75,0.0345,4.97
arc,0.75,0.0346,4.36
twoq,0.75,0.0416,2.27
sieve,0.75,0.0333,5.57
lfu,0.75,0.0373,3.44
lru,0.8,0.0335,4.26
fifo,0.8,0.0386,5.72
pnac,0.8,0.0316,5.12
arc,0.8,0.0315,4.22
twoq,0.8,0.0386,2.6
sieve,0.8,0.0307,5.71
lfu,0.8,0.0326,3.43
lru,0.9,0.0292,4.67
fifo,0.9,0.0339,4.97
pnac,0.9,0.0286,5.36
arc,0.9,0.0285,4.61
twoq,0.9,0.0339,3.47
sieve,0.9,0.0285,5.75
lfu,0.9,0.0285,3.32
lru,1.0,0.0282,4.76
fifo,1.0,0.0282,5.46
pnac,1.0,0.0282,4.42
arc,1.0,0.0282,4.68
twoq,1.0,0.0282,4.71
sieve,1.0,0.0282,5.12
lfu,1.0,0.0282,3.39
lru,0.05,0.3856,3.84
fifo,0.05,0.4025,3.74
pnac,0.05,0.3873,3.18
arc,0.05,0.3873,3.29
twoq,0.05,0.3654,1.36
sieve,0.05,0.399,4.07
lfu,0.05,0.5317,3.92
lru,0.1,0.2866,3.76
fifo,0.1,0.3113,3.8
pnac,0.1,0.3169,3.06
arc,0.1,0.2886,3.31
twoq,0.1,0.2787,1.45
sieve,0.1,0.3087,3.82
lfu,0.1,0.4219,3.86
lru,0.2,0.1924,3.74
fifo,0.2,0.2138,4.11
pnac,0.2,0.209,3.04
arc,0.2,0.1938,3.7
twoq,0.2,0.1918,1.66
sieve,0.2,0.2035,4.17
lfu,0.2,0.3014,3.82
lru,0.25,0.1642,4.04
fifo,0.25,0.1845,4.28
pnac,0.25,0.1683,3.08
arc,0.25,0.1649,3.88
twoq,0.25,0.1639,1.76
sieve,0.25,0.1769,4.18
lfu,0.25,0.2553,3.79
lru,0.3,0.1427,4.01
fifo,0.3,0.1622,4.53
pnac,0.3,0.1383,3.24
arc,0.3,0.1423,3.82
twoq,0.3,0.1435,1.72
sieve,0.3,0.1412,4.14
lfu,0.3,0.2187,3.71
lru,0.4,0.1087,4.1
fifo,0.4,0.1244,4.35
pnac,0.4,0.103,3.53
arc,0.4,0.1083,3.96
twoq,0.4,0.1089,1.9
sieve,0.4,0.1093,4.48
lfu,0.4,0.1502,3.8
lru,0.5,0.0872,4.1
fifo,0.5,0.0982,5.0
pnac,0.5,0.0757,3.79
arc,0.5,0.086,4.18
twoq,0.5,0.0869,1.97
sieve,0.5,0.0731,4.83
lfu,0.5,0.0886,3.71
lru,0.6,0.0623,4.28
fifo,0.6,0.0685,5.32
pnac,0.6,0.0518,4.27
arc,0.6,0.0533,4.35
twoq,0.6,0.0622,2.03
sieve,0.6,0.0487,5.04
lfu,0.6,0.0593,3.6
lru,0.75,0.0368,4.21
fifo,0.75,0.0442,5.35
pnac,0.75,0.0345,4.71
arc,0.75,0.0346,4.3
twoq,0.75,0.0416,2.36
sieve,0.75,0.0333,5.15
lfu,0.75,0.0373,3.81
lru,0.8,0.0335,4.51
fifo,0.8,0.0386,5.59
pnac,0.8,0.0316,4.88
arc,0.8,0.0315,4.44
twoq,0.8,0.0386,2.61
sieve,0.8,0.0307,5.49
lfu,0.8,0.0326,3.61
lru,0.9,0.0292,4.37
fifo,0.9,0.0339,5.28
pnac,0.9,0.0286,5.09
arc,0.9,0.0285,4.37
twoq,0.9,0.0339,3.63
sieve,0.9,0.0285,5.14
lfu,0.9,0.0285,3.67
lru,1.0,0.0282,4.54
fifo,1.0,0.0282,5.62
pnac,1.0,0.0282,5.07
arc,1.0,0.0282,4.39
twoq,1.0,0.0282,5.06
sieve,1.0,0.0282,5.45
lfu,1.0,0.0282,3.61
