algo,cache_size,miss_ratio,throughput
sieve,0.05,0.8108,4.43
lfu,0.05,0.8108,4.9
lru,0.1,0.8097,5.26
fifo,0.1,0.8075,5.34
pnac,0.1,0.7903,3.83
arc,0.1,0.7688,4.89
twoq,0.1,0.7695,2.09
sieve,0.1,0.7903,5.47
lfu,0.1,0.7903,4.61
lru,0.2,0.7333,5.36
fifo,0.2,0.7409,5.43
pnac,0.2,0.6877,4.84
arc,0.2,0.6856,4.96
twoq,0.2,0.722,0.1
sieve,0.2,0.6877,5.24
lfu,0.2,0.6877,4.83
lru,0.25,0.72,5.39
fifo,0.25,0.7385,3.9
pnac,0.25,0.6756,5.33
arc,0.25,0.6543,5.32
twoq,0.25,0.6863,2.31
sieve,0.25,0.6756,5.77
lfu,0.25,0.6756,5.0
lru,0.3,0.7132,5.54
fifo,0.3,0.736,5.0
pnac,0.3,0.6702,5.22
arc,0.3,0.6192,5.19
twoq,0.3,0.6693,2.27
sieve,0.3,0.6702,5.39
lfu,0.3,0.6702,4.74
lru,0.4,0.6332,5.33
fifo,0.4,0.6343,5.23
pnac,0.4,0.5794,4.6
arc,0.4,0.5762,5.07
twoq,0.4,0.6335,2.62
sieve,0.4,0.5794,5.53
lfu,0.4,0.5794,5.3
lru,0.5,0.6303,5.01
fifo,0.5,0.6336,5.85
pnac,0.5,0.5654,4.99
arc,0.5,0.5654,5.48
twoq,0.5,0.6323,2.56
sieve,0.5,0.5654,5.48
lfu,0.5,0.5654,5.1
lru,0.6,0.6065,5.68
fifo,0.6,0.6334,5.82
pnac,0.6,0.5652,4.9
arc,0.6,0.5656,5.52
twoq,0.6,0.6328,2.53
sieve,0.6,0.5652,5.42
lfu,0.6,0.5652,4.82
lru,0.75,0.5672,5.35
fifo,0.75,0.6307,5.51
pnac,0.75,0.5644,5.01
arc,0.75,0.5645,5.86
twoq,0.75,0.63,2.52
sieve,0.75,0.5644,5.15
lfu,0.75,0.5644,4.57
lru,0.8,0.4303,6.21
fifo,0.8,0.4316,6.8
pnac,0.8,0.4995,5.07
arc,0.8,0.4995,5.72
twoq,0.8,0.4316,4.37
sieve,0.8,0.4995,5.79
lfu,0.8,0.4995,5.17
lru,0.9,0.4302,6.17
fifo,0.9,0.4314,6.96
pnac,0.9,0.4302,5.67
arc,0.9,0.4302,6.09
twoq,0.9,0.4314,4.2
sieve,0.9,0.4302,6.31
lfu,0.9,0.4302,5.48
lru,1.0,0.4301,6.29
fifo,1.0,0.4301,6.35
pnac,1.0,0.4301,5.56
arc,1.0,0.4301,6.56
twoq,1.0,0.4301,5.05
sieve,1.0,0.4301,6.91
lfu,1.0,0.4301,5.81
