algo,cache_size,miss_ratio,throughput
lru,0.1,0.1911,4.27
fifo,0.1,0.2138,4.8
pnac,0.1,0.1784,4.65
arc,0.1,0.1775,4.12
twoq,0.1,0.1792,1.76
sieve,0.1,0.1784,4.91
lfu,0.1,0.1784,3.28
lru,0.2,0.1656,4.44
fifo,0.2,0.1856,4.98
pnac,0.2,0.1631,4.74
arc,0.2,0.163,4.24
twoq,0.2,0.1706,1.94
sieve,0.2,0.1631,4.92
lfu,0.2,0.1631,3.25
lru,0.25,0.1639,4.35
fifo,0.25,0.1813,4.95
pnac,0.25,0.1623,4.71
arc,0.25,0.1622,4.23
twoq,0.25,0.1697,1.92
sieve,0.25,0.1623,4.94
lfu,0.25,0.1623,3.28
lru,0.3,0.1616,4.39
fifo,0.3,0.176,4.98
pnac,0.3,0.1607,4.7
arc,0.3,0.1607,4.19
twoq,0.3,0.1681,2.07
sieve,0.3,0.1607,4.95
lfu,0.3,0.1607,3.34
lru,0.4,0.1598,4.13
fifo,0.4,0.1705,4.86
pnac,0.4,0.1595,4.68
arc,0.4,0.1595,4.18
twoq,0.4,0.1665,2.24
sieve,0.4,0.1595,4.74
lfu,0.4,0.1595,3.26
lru,0.5,0.1589,4.29
fifo,0.5,0.1661,5.07
pnac,0.5,0.1587,4.52
arc,0.5,0.1587,4.18
twoq,0.5,0.1654,2.43
sieve,0.5,0.1587,4.82
lfu,0.5,0.1587,3.2
lru,0.6,0.158,4.36
fifo,0.6,0.1645,5.05
pnac,0.6,0.1579,4.48
arc,0.6,0.1579,4.21
twoq,0.6,0.1645,2.57
sieve,0.6,0.1579,4.81
lfu,0.6,0.1579,3.12
lru,0.75,0.157,4.36
fifo,0.75,0.1625,4.97
pnac,0.75,0.157,4.56
arc,0.75,0.157,4.25
twoq,0.75,0.1625,3.05
sieve,0.75,0.157,4.81
lfu,0.75,0.157,3.18
lru,0.8,0.1568,4.34
fifo,0.8,0.1617,5.04
pnac,0.8,0.1568,4.68
arc,0.8,0.1568,4.26
twoq,0.8,0.1617,3.24
sieve,0.8,0.1568,4.86
lfu,0.8,0.1568,3.2
lru,0.9,0.1566,4.35
fifo,0.9,0.1598,5.07
pnac,0.9,0.1566,4.57
arc,0.9,0.1566,4.25
twoq,0.9,0.1598,3.59
sieve,0.9,0.1566,4.98
lfu,0.9,0.1566,3.21
lru,1.0,0.1566,4.37
fifo,1.0,0.1566,5.18
pnac,1.0,0.1566,4.48
arc,1.0,0.1566,4.26
twoq,1.0,0.1566,4.25
sieve,1.0,0.1566,4.92
lfu,1.0,0.1566,3.28
lru,0.05,0.2138,3.81
fifo,0.05,0.2393,4.9
pnac,0.05,0.1849,4.48
arc,0.05,0.1826,4.28
twoq,0.05,0.1922,1.75
sieve,0.05,0.1849,5.12
lfu,0.05,0.1849,3.42
lru,0.1,0.1911,3.96
fifo,0.1,0.2138,4.83
pnac,0.1,0.1784,4.85
arc,0.1,0.1775,4.1
twoq,0.1,0.1792,1.82
sieve,0.1,0.1784,5.14
lfu,0.1,0.1784,3.25
lru,0.2,0.1656,4.65
fifo,0.2,0.1856,4.77
pnac,0.2,0.1631,4.89
arc,0.2,0.163,4.11
twoq,0.2,0.1706,1.96
sieve,0.2,0.1631,5.16
lfu,0.2,0.1631,3.19
lru,0.25,0.1639,4.67
fifo,0.25,0.1813,5.29
pnac,0.25,0.1623,4.55
arc,0.25,0.1622,4.34
twoq,0.25,0.1697,2.0
sieve,0.25,0.1623,4.77
lfu,0.25,0.1623,3.41
lru,0.3,0.1616,4.19
fifo,0.3,0.176,5.19
pnac,0.3,0.1607,4.57
arc,0.3,0.1607,4.36
twoq,0.3,0.1681,2.09
sieve,0.3,0.1607,5.13
lfu,0.3,0.1607,3.38
lru,0.4,0.1598,4.6
fifo,0.4,0.1705,4.47
pnac,0.4,0.1595,4.88
arc,0.4,0.1595,4.02
twoq,0.4,0.1665,2.31
sieve,0.4,0.1595,5.04
lfu,0.4,0.1595,3.09
lru,0.5,0.1589,4.4
fifo,0.5,0.1661,4.81
pnac,0.5,0.1587,4.81
arc,0.5,0.1587,4.0
twoq,0.5,0.1654,2.36
sieve,0.5,0.1587,5.09
lfu,0.5,0.1587,3.15
lru,0.6,0.158,4.52
fifo,0.6,0.1645,5.32
pnac,0.6,0.1579,4.48
arc,0.6,0.1579,4.39
twoq,0.6,0.1645,2.64
sieve,0.6,0.1579,5.12
lfu,0.6,0.1579,3.17
lru,0.75,0.157,4.46
fifo,0.75,0.1625,4.97
pnac,0.75,0.157,4.87
arc,0.75,0.157,4.13
twoq,0.75,0.1625,3.23
sieve,0.75,0.157,4.73
lfu,0.75,0.157,3.33
lru,0.8,0.1568,4.55
fifo,0.8,0.1617,4.74
pnac,0.8,0.1568,4.9
arc,0.8,0.1568,4.23
twoq,0.8,0.1617,3.46
sieve,0.8,0.1568,4.72
lfu,0.8,0.1568,3.38
lru,0.9,0.1566,4.24
fifo,0.9,0.1598,5.39
pnac,0.9,0.1566,4.87
arc,0.9,0.1566,4.17
twoq,0.9,0.1598,3.73
sieve,0.9,0.1566,5.2
lfu,0.9,0.1566,3.15
lru,1.0,0.1566,4.64
fifo,1.0,0.1566,5.5
pnac,1.0,0.1566,4.38
arc,1.0,0.1566,4.62
twoq,1.0,0.1566,4.28
sieve,1.0,0.1566,5.33
lfu,1.0,0.1566,3.17
lru,0.05,0.2138,3.0
fifo,0.05,0.2393,3.31
pnac,0.05,0.1849,3.5
arc,0.05,0.1826,3.0
twoq,0.05,0.1922,1.28
sieve,0.05,0.1849,3.55
lfu,0.05,0.1849,2.27
lru,0.1,0.1911,3.28
fifo,0.1,0.2138,3.45
pnac,0.1,0.1784,3.19
arc,0.1,0.1775,3.26
twoq,0.1,0.1792,1.3
sieve,0.1,0.1784,3.82
lfu,0.1,0.1784,2.45
lru,0.2,0.1656,3.38
fifo,0.2,0.1856,4.01
pnac,0.2,0.1631,3.56
arc,0.2,0.163,3.45
twoq,0.2,0.1706,1.54
sieve,0.2,0.1631,3.76
lfu,0.2,0.1631,2.51
lru,0.25,0.1639,3.54
fifo,0.25,0.1813,3.76
pnac,0.25,0.1623,3.72
arc,0.25,0.1622,3.26
twoq,0.25,0.1697,1.56
sieve,0.25,0.1623,3.78
lfu,0.25,0.1623,2.45
lru,0.3,0.1616,3.56
fifo,0.3,0.176,3.76
pnac,0.3,0.1607,3.73
arc,0.3,0.1607,3.29
twoq,0.3,0.1681,1.65
sieve,0.3,0.1607,3.8
lfu,0.3,0.1607,2.58
lru,0.4,0.1598,3.35
fifo,0.4,0.1705,4.05
pnac,0.4,0.1595,3.6
arc,0.4,0.1595,3.26
twoq,0.4,0.1665,1.77
sieve,0.4,0.1595,3.97
lfu,0.4,0.1595,2.41
lru,0.5,0.1589,3.33
fifo,0.5,0.1661,4.05
pnac,0.5,0.1587,3.58
arc,0.5,0.1587,3.45
twoq,0.5,0.1654,1.9
sieve,0.5,0.1587,3.74
lfu,0.5,0.1587,2.4
lru,0.6,0.158,3.55
fifo,0.6,0.1645,3.8
pnac,0.6,0.1579,3.43
arc,0.6,0.1579,2.92
twoq,0.6,0.1645,1.94
sieve,0.6,0.1579,3.59
lfu,0.6,0.1579,2.52
lru,0.75,0.157,3.34
fifo,0.75,0.1625,4.06
pnac,0.75,0.157,3.66
arc,0.75,0.157,3.32
twoq,0.75,0.1625,2.55
sieve,0.75,0.157,3.73
lfu,0.75,0.157,2.48
lru,0.8,0.1568,3.53
fifo,0.8,0.1617,4.03
pnac,0.8,0.1568,3.52
arc,0.8,0.1568,3.37
twoq,0.8,0.1617,2.52
sieve,0.8,0.1568,3.75
lfu,0.8,0.1568,2.37
lru,0.9,0.1566,3.47
fifo,0.9,0.1598,3.79
pnac,0.9,0.1566,3.76
arc,0.9,0.1566,3.35
twoq,0.9,0.1598,2.85
sieve,0.9,0.1566,4.05
lfu,0.9,0.1566,2.47
lru,1.0,0.1566,3.55
fifo,1.0,0.1566,4.1
pnac,1.0,0.1566,3.62
arc,1.0,0.1566,3.5
twoq,1.0,0.1566,3.2
sieve,1.0,0.1566,4.02
lfu,1.0,0.1566,2.5
lru,0.05,0.2138,3.09
fifo,0.05,0.2393,3.52
pnac,0.05,0.1849,3.75
arc,0.05,0.1826,3.15
twoq,0.05,0.1922,1.35
sieve,0.05,0.1849,3.8
lfu,0.05,0.1849,2.6
lru,0.1,0.1911,3.31
fifo,0.1,0.2138,3.88
pnac,0.1,0.1784,3.5
arc,0.1,0.1775,3.21
twoq,0.1,0.1792,1.24
sieve,0.1,0.1784,3.47
lfu,0.1,0.1784,2.28
lru,0.2,0.1656,3.16
fifo,0.2,0.1856,3.5
pnac,0.2,0.1631,3.34
arc,0.2,0.163,2.96
twoq,0.2,0.1706,1.3
sieve,0.2,0.1631,3.49
lfu,0.2,0.1631,2.35
lru,0.25,0.1639,3.27
fifo,0.25,0.1813,3.7
pnac,0.25,0.1623,3.37
arc,0.25,0.1622,3.17
twoq,0.25,0.1697,1.54
sieve,0.25,0.1623,3.78
lfu,0.25,0.1623,2.47
lru,0.3,0.1616,3.47
fifo,0.3,0.176,3.98
pnac,0.3,0.1607,3.4
arc,0.3,0.1607,3.39
twoq,0.3,0.1681,1.59
sieve,0.3,0.1607,3.82
lfu,0.3,0.1607,2.53
lru,0.4,0.1598,3.33
fifo,0.4,0.1705,3.98
pnac,0.4,0.1595,3.6
arc,0.4,0.1595,3.17
twoq,0.4,0.1665,1.75
sieve,0.4,0.1595,3.91
lfu,0.4,0.1595,2.51
lru,0.5,0.1589,3.41
fifo,0.5,0.1661,3.88
pnac,0.5,0.1587,3.66
arc,0.5,0.1587,3.15
twoq,0.5,0.1654,1.83
sieve,0.5,0.1587,3.84
lfu,0.5,0.1587,2.44
lru,0.6,0.158,3.3
fifo,0.6,0.1645,3.96
pnac,0.6,0.1579,3.52
arc,0.6,0.1579,3.28
twoq,0.6,0.1645,2.04
sieve,0.6,0.1579,3.59
lfu,0.6,0.1579,2.53
lru,0.75,0.157,3.27
fifo,0.75,0.1625,3.78
pnac,0.75,0.157,3.62
arc,0.75,0.157,3.18
twoq,0.75,0.1625,2.39
sieve,0.75,0.157,3.83
lfu,0.75,0.157,2.44
lru,0.8,0.1568,3.26
fifo,0.8,0.1617,3.98
pnac,0.8,0.1568,3.48
arc,0.8,0.1568,3.2
twoq,0.8,0.1617,2.49
sieve,0.8,0.1568,3.89
lfu,0.8,0.1568,2.39
lru,0.9,0.1566,3.48
fifo,0.9,0.1598,4.06
pnac,0.9,0.1566,3.43
arc,0.9,0.1566,3.35
twoq,0.9,0.1598,2.82
sieve,0.9,0.1566,3.88
lfu,0.9,0.1566,2.46
lru,1.0,0.1566,3.33
fifo,1.0,0.1566,4.1
pnac,1.0,0.1566,3.49
arc,1.0,0.1566,3.12
twoq,1.0,0.1566,3.35
sieve,1.0,0.1566,3.78
lfu,1.0,0.1566,2.43
lru,0.05,0.2138,4.25
fifo,0.05,0.2393,4.3
pnac,0.05,0.1849,4.91
arc,0.05,0.1826,3.71
twoq,0.05,0.1922,1.75
sieve,0.05,0.1849,5.2
lfu,0.05,0.1849,3.2
lru,0.1,0.1911,4.53
fifo,0.1,0.2138,4.49
pnac,0.1,0.1784,4.7
arc,0.1,0.1775,4.21
twoq,0.1,0.1792,1.8
sieve,0.1,0.1784,5.09
lfu,0.1,0.1784,3.19
lru,0.2,0.1656,4.57
fifo,0.2,0.1856,5.08
pnac,0.2,0.1631,4.47
arc,0.2,0.163,4.4
twoq,0.2,0.1706,1.95
sieve,0.2,0.1631,4.6
lfu,0.2,0.1631,3.48
lru,0.25,0.1639,4.13
fifo,0.25,0.1813,5.17
pnac,0.25,0.1623,4.33
arc,0.25,0.1622,4.46
twoq,0.25,0.1697,2.02
sieve,0.25,0.1623,5.04
lfu,0.25,0.1623,3.25
lru,0.3,0.1616,4.36
fifo,0.3,0.176,5.15
pnac,0.3,0.1607,4.45
arc,0.3,0.1607,4.18
twoq,0.3,0.1681,2.07
sieve,0.3,0.1607,4.91
lfu,0.3,0.1607,3.24
lru,0.4,0.1598,4.08
fifo,0.4,0.1705,4.9
pnac,0.4,0.1595,4.59
arc,0.4,0.1595,4.16
twoq,0.4,0.1665,2.2
sieve,0.4,0.1595,4.92
lfu,0.4,0.1595,3.13
lru,0.5,0.1589,4.41
fifo,0.5,0.1661,4.78
pnac,0.5,0.1587,4.55
arc,0.5,0.1587,3.91
twoq,0.5,0.1654,2.34
sieve,0.5,0.1587,5.06
lfu,0.5,0.1587,3.12
lru,0.6,0.158,4.47
fifo,0.6,0.1645,4.62
pnac,0.6,0.1579,4.64
arc,0.6,0.1579,4.29
twoq,0.6,0.1645,2.57
sieve,0.6,0.1579,5.02
lfu,0.6,0.1579,3.13
lru,0.75,0.157,4.36
fifo,0.75,0.1625,4.85
pnac,0.75,0.157,4.56
arc,0.75,0.157,4.09
twoq,0.75,0.1625,3.12
sieve,0.75,0.157,4.63
lfu,0.75,0.157,3.3
lru,0.8,0.1568,4.16
fifo,0.8,0.1617,5.15
pnac,0.8,0.1568,4.34
arc,0.8,0.1568,4.31
twoq,0.8,0.1617,3.1
sieve,0.8,0.1568,5.03
lfu,0.8,0.1568,3.13
lru,0.9,0.1566,4.54
fifo,0.9,0.1598,4.43
pnac,0.9,0.1566,4.37
arc,0.9,0.1566,4.48
twoq,0.9,0.1598,3.7
sieve,0.9,0.1566,5.09
lfu,0.9,0.1566,3.14
lru,1.0,0.1566,4.49
fifo,1.0,0.1566,5.28
pnac,1.0,0.1566,5.05
arc,1.0,0.1566,4.46
twoq,1.0,0.1566,4.08
sieve,1.0,0.1566,4.99
lfu,1.0,0.1566,3.17
lru,0.05,0.2138,4.45
fifo,0.05,0.2393,4.26
pnac,0.05,0.1849,4.84
arc,0.05,0.1826,3.81
twoq,0.05,0.1922,1.77
sieve,0.05,0.1849,5.11
lfu,0.05,0.1849,3.13
lru,0.1,0.1911,4.55
fifo,0.1,0.2138,4.36
pnac,0.1,0.1784,4.96
arc,0.1,0.1775,3.86
twoq,0.1,0.1792,1.8
sieve,0.1,0.1784,5.24
lfu,0.1,0.1784,3.1
lru,0.2,0.1656,4.59
fifo,0.2,0.1856,5.1
pnac,0.2,0.1631,4.45
arc,0.2,0.163,4.36
twoq,0.2,0.1706,1.89
sieve,0.2,0.1631,5.22
lfu,0.2,0.1631,3.07
lru,0.25,0.1639,4.6
fifo,0.25,0.1813,4.63
pnac,0.25,0.1623,4.84
arc,0.25,0.1622,3.99
twoq,0.25,0.1697,2.09
sieve,0.25,0.1623,5.12
lfu,0.25,0.1623,3.4
lru,0.3,0.1616,4.54
fifo,0.3,0.176,5.19
pnac,0.3,0.1607,4.37
arc,0.3,0.1607,4.43
twoq,0.3,0.1681,2.05
sieve,0.3,0.1607,4.65
lfu,0.3,0.1607,3.39
lru,0.4,0.1598,4.08
fifo,0.4,0.1705,5.01
pnac,0.4,0.1595,4.8
arc,0.4,0.1595,4.03
twoq,0.4,0.1665,2.23
sieve,0.4,0.1595,5.17
lfu,0.4,0.1595,3.13
lru,0.5,0.1589,4.53
fifo,0.5,0.1661,4.68
pnac,0.5,0.1587,4.81
arc,0.5,0.1587,4.39
twoq,0.5,0.1654,2.4
sieve,0.5,0.1587,4.42
lfu,0.5,0.1587,3.29
lru,0.6,0.158,3.82
fifo,0.6,0.1645,5.4
pnac,0.6,0.1579,4.24
arc,0.6,0.1579,4.41
twoq,0.6,0.1645,2.53
sieve,0.6,0.1579,5.36
lfu,0.6,0.1579,2.95
lru,0.75,0.157,4.69
fifo,0.75,0.1625,4.5
pnac,0.75,0.157,4.96
arc,0.75,0.157,4.5
twoq,0.75,0.1625,2.96
sieve,0.75,0.157,5.19
lfu,0.75,0.157,2.98
lru,0.8,0.1568,3.93
fifo,0.8,0.1617,5.28
pnac,0.8,0.1568,4.91
arc,0.8,0.1568,3.81
twoq,0.8,0.1617,3.45
sieve,0.8,0.1568,4.4
lfu,0.8,0.1568,3.22
lru,0.9,0.1566,3.97
fifo,0.9,0.1598,5.3
pnac,0.9,0.1566,4.71
arc,0.9,0.1566,3.59
twoq,0.9,0.1598,3.98
sieve,0.9,0.1566,4.56
lfu,0.9,0.1566,3.46
lru,1.0,0.1566,4.01
fifo,1.0,0.1566,4.94
pnac,1.0,0.1566,4.65
arc,1.0,0.1566,4.56
twoq,1.0,0.1566,4.26
sieve,1.0,0.1566,4.74
lfu,1.0,0.1566,3.35
